Token,PrevPrevToken,PrevToken,NextToken,NextNextToken,IsNumeric,Label
Aylık,<YOK>,<YOK>,45000,TL,False,DIGER
45000,<YOK>,Aylık,TL,gelirim,True,GELIR
TL,Aylık,45000,gelirim,var,False,DIGER
gelirim,45000,TL,var,150000,False,DIGER
var,TL,gelirim,150000,TL,False,DIGER
150000,gelirim,var,TL,kredi,True,TUTAR
TL,var,150000,kredi,istiyorum,False,DIGER
kredi,150000,TL,istiyorum,12,False,DIGER
istiyorum,TL,kredi,12,ay,False,DIGER
12,kredi,istiyorum,ay,vade,True,VADE
ay,istiyorum,12,vade,düşünüyorum,False,DIGER
vade,12,ay,düşünüyorum,<YOK>,False,DIGER
düşünüyorum,ay,vade,<YOK>,<YOK>,False,DIGER
Maaşım,<YOK>,<YOK>,32000,lira,False,DIGER
32000,<YOK>,Maaşım,lira,giderlerim,True,GELIR
lira,Maaşım,32000,giderlerim,yaklaşık,False,DIGER
giderlerim,32000,lira,yaklaşık,15000,False,DIGER
yaklaşık,lira,giderlerim,15000,lira,False,DIGER
15000,giderlerim,yaklaşık,lira,200000,True,GIDER
lira,yaklaşık,15000,200000,lira,False,DIGER
200000,15000,lira,lira,ihtiyaç,True,TUTAR
lira,lira,200000,ihtiyaç,kredisi,False,DIGER
ihtiyaç,200000,lira,kredisi,istiyorum,False,DIGER
kredisi,lira,ihtiyaç,istiyorum,24,False,DIGER
istiyorum,ihtiyaç,kredisi,24,ay,False,DIGER
24,kredisi,istiyorum,ay,vadeli,True,VADE
ay,istiyorum,24,vadeli,<YOK>,False,DIGER
vadeli,24,ay,<YOK>,<YOK>,False,DIGER
55000,<YOK>,<YOK>,TL,kazanıyorum,True,GELIR
TL,<YOK>,55000,kazanıyorum,aylık,False,DIGER
kazanıyorum,55000,TL,aylık,giderim,False,DIGER
aylık,TL,kazanıyorum,giderim,20000,False,DIGER
giderim,kazanıyorum,aylık,20000,TL,False,DIGER
20000,aylık,giderim,TL,100000,True,GIDER
TL,giderim,20000,100000,TL,False,DIGER
100000,20000,TL,TL,istiyorum,True,TUTAR
TL,TL,100000,istiyorum,6,False,DIGER
istiyorum,100000,TL,6,ay,False,DIGER
6,TL,istiyorum,ay,içinde,True,VADE
ay,istiyorum,6,içinde,ödemek,False,DIGER
içinde,6,ay,ödemek,istiyorum,False,DIGER
ödemek,ay,içinde,istiyorum,<YOK>,False,DIGER
istiyorum,içinde,ödemek,<YOK>,<YOK>,False,DIGER
